,民國107年第1季,民國107年第1季,民國107年第1季,民國107年第1季,民國107年第1季,民國107年第1季,民國107年第1季,民國107年第1季,民國107年第1季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,107年03月31日,107年03月31日,106年12月31日,106年12月31日,106年03月31日,106年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,435749.0,5.9,453263.0,6.14,447659.0,6.06,,
2,透過損益按公允價值衡量之金融資產－流動,919786.0,12.44,676308.0,9.16,745746.0,10.09,,
3,應收票據淨額,12601.0,0.17,39886.0,0.54,14728.0,0.2,,
4,應收帳款淨額,268852.0,3.64,329850.0,4.47,251595.0,3.4,,
5,其他應收款淨額,36556.0,0.49,57456.0,0.78,32357.0,0.44,,
6,存貨,80165.0,1.08,104471.0,1.42,63738.0,0.86,,
7,預付款項,108033.0,1.46,74873.0,1.01,84821.0,1.15,,
8,其他流動資產,246940.0,3.34,295497.0,4.0,202536.0,2.74,,
9,流動資產合計,2108682.0,28.53,2031604.0,27.52,1843180.0,24.93,,
10,非流動資產,,,,,,,,
11,透過其他綜合損益按公允價值衡量之金融資產－非流動,500.0,0.01,0.0,0.0,0.0,0.0,,
12,以成本衡量之金融資產－非流動淨額,0.0,0.0,500.0,0.01,500.0,0.01,,
13,不動產、廠房及設備,3042169.0,41.16,3089228.0,41.85,3204119.0,43.34,,
14,投資性不動產淨額,303614.0,4.11,293831.0,3.98,304715.0,4.12,,
15,無形資產,1564913.0,21.17,1603487.0,21.72,1646099.0,22.27,,
16,遞延所得稅資產,99814.0,1.35,91331.0,1.24,113421.0,1.53,,
17,其他非流動資產,271309.0,3.67,272335.0,3.69,280510.0,3.79,,
18,非流動資產合計,5282319.0,71.47,5350712.0,72.48,5549364.0,75.07,,
19,資產總額,7391001.0,100.0,7382316.0,100.0,7392544.0,100.0,,
20,流動負債,,,,,,,,
21,短期借款,15000.0,0.2,23000.0,0.31,19600.0,0.27,,
22,應付短期票券,21300.0,0.29,0.0,0.0,57000.0,0.77,,
23,透過損益按公允價值衡量之金融負債－流動,28466.0,0.39,20366.0,0.28,23066.0,0.31,,
24,合約負債－流動,432742.0,5.85,0.0,0.0,0.0,0.0,,
25,應付票據,5051.0,0.07,9473.0,0.13,6215.0,0.08,,
26,應付帳款,297918.0,4.03,301819.0,4.09,231599.0,3.13,,
27,其他應付款,600523.0,8.13,792125.0,10.73,602222.0,8.15,,
28,本期所得稅負債,149332.0,2.02,91305.0,1.24,148208.0,2.0,,
29,其他流動負債,88969.0,1.2,570178.0,7.72,471536.0,6.38,,
30,流動負債合計,1639301.0,22.18,1808266.0,24.49,1559446.0,21.09,,
31,非流動負債,,,,,,,,
32,合約負債－非流動,8941.0,0.12,0.0,0.0,0.0,0.0,,
33,應付公司債,1420076.0,19.21,1414107.0,19.16,1462940.0,19.79,,
34,遞延所得稅負債,11.0,0.0,9.0,0.0,7.0,0.0,,
35,其他非流動負債,375044.0,5.07,408047.0,5.53,408030.0,5.52,,
36,非流動負債合計,1804072.0,24.41,1822163.0,24.68,1870977.0,25.31,,
37,負債總額,3443373.0,46.59,3630429.0,49.18,3430423.0,46.4,,
38,歸屬於母公司業主之權益,,,,,,,,
39,股本,,,,,,,,
40,普通股股本,1267458.0,17.15,1267458.0,17.17,1267458.0,17.15,,
41,股本合計,1267458.0,17.15,1267458.0,17.17,1267458.0,17.15,,
42,資本公積,,,,,,,,
43,資本公積－認股權,115442.0,1.56,115442.0,1.56,115442.0,1.56,,
44,資本公積－其他,0.0,0.0,0.0,0.0,98623.0,1.33,,
45,資本公積合計,115442.0,1.56,115442.0,1.56,214065.0,2.9,,
46,保留盈餘,,,,,,,,
47,法定盈餘公積,1267458.0,17.15,1267458.0,17.17,1267458.0,17.15,,
48,特別盈餘公積,32770.0,0.44,32770.0,0.44,24891.0,0.34,,
49,未分配盈餘（或待彌補虧損）,1265208.0,17.12,1045289.0,14.16,1177874.0,15.93,,
50,保留盈餘合計,2565436.0,34.71,2345517.0,31.77,2470223.0,33.42,,
51,其他權益,,,,,,,,
52,國外營運機構財務報表換算之兌換差額,-223428.0,-3.02,-201929.0,-2.74,-150856.0,-2.04,,
53,其他權益合計,-223428.0,-3.02,-201929.0,-2.74,-150856.0,-2.04,,
54,歸屬於母公司業主之權益合計,3724908.0,50.4,3526488.0,47.77,3800890.0,51.42,,
55,非控制權益,222720.0,3.01,225399.0,3.05,161231.0,2.18,,
56,權益總額,3947628.0,53.41,3751887.0,50.82,3962121.0,53.6,,
57,負債及權益總計,7391001.0,100.0,7382316.0,100.0,7392544.0,100.0,,
58,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
59,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
60,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
