,民國106年第2季,民國106年第2季,民國106年第2季,民國106年第2季,民國106年第2季,民國106年第2季,民國106年第2季,民國106年第2季,民國106年第2季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,106年06月30日,106年06月30日,105年12月31日,105年12月31日,105年06月30日,105年06月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,505571.0,6.58,500403.0,6.65,2503677.0,25.6,,
2,透過損益按公允價值衡量之金融資產－流動,1056772.0,13.76,517581.0,6.88,831723.0,8.5,,
3,應收票據淨額,13922.0,0.18,34646.0,0.46,11776.0,0.12,,
4,應收帳款淨額,255775.0,3.33,281085.0,3.74,211910.0,2.17,,
5,其他應收款淨額,38516.0,0.5,51824.0,0.69,31456.0,0.32,,
6,存貨,62789.0,0.82,70147.0,0.93,50737.0,0.52,,
7,預付款項,84671.0,1.1,73700.0,0.98,89193.0,0.91,,
8,其他流動資產,183244.0,2.39,245862.0,3.27,143099.0,1.46,,
9,流動資產合計,2201260.0,28.65,1775248.0,23.6,3873571.0,39.6,,
10,非流動資產,,,,,,,,
11,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
12,不動產、廠房及設備,3143545.0,40.92,3280192.0,43.61,3400837.0,34.77,,
13,投資性不動產淨額,304055.0,3.96,310556.0,4.13,356471.0,3.64,,
14,無形資產,1646738.0,21.43,1752231.0,23.3,1753118.0,17.92,,
15,遞延所得稅資產,106445.0,1.39,122888.0,1.63,125975.0,1.29,,
16,其他非流動資產,279960.0,3.64,280097.0,3.72,271150.0,2.77,,
17,非流動資產合計,5481243.0,71.35,5746464.0,76.4,5908051.0,60.4,,
18,資產總計,7682503.0,100.0,7521712.0,100.0,9781622.0,100.0,,
19,流動負債,,,,,,,,
20,短期借款,15500.0,0.2,19600.0,0.26,490579.0,5.02,,
21,應付短期票券,56200.0,0.73,56000.0,0.74,43500.0,0.44,,
22,透過損益按公允價值衡量之金融負債－流動,19466.0,0.25,21480.0,0.29,21064.0,0.22,,
23,應付票據,3881.0,0.05,16971.0,0.23,4225.0,0.04,,
24,應付帳款,269118.0,3.5,300715.0,4.0,258091.0,2.64,,
25,其他應付款,1699463.0,22.12,718779.0,9.56,1754734.0,17.94,,
26,本期所得稅負債,92327.0,1.2,102466.0,1.36,110761.0,1.13,,
27,其他流動負債,421151.0,5.48,523382.0,6.96,1854003.0,18.95,,
28,流動負債合計,2577106.0,33.55,1759393.0,23.39,4536957.0,46.38,,
29,非流動負債,,,,,,,,
30,應付公司債,1469094.0,19.12,1456812.0,19.37,1378818.0,14.1,,
31,長期借款,0.0,0.0,0.0,0.0,28571.0,0.29,,
32,遞延所得稅負債,7.0,0.0,7.0,0.0,29.0,0.0,,
33,其他非流動負債,407166.0,5.3,460313.0,6.12,447925.0,4.58,,
34,非流動負債合計,1876267.0,24.42,1917132.0,25.49,1855343.0,18.97,,
35,負債總計,4453373.0,57.97,3676525.0,48.88,6392300.0,65.35,,
36,歸屬於母公司業主之權益,,,,,,,,
37,股本,,,,,,,,
38,普通股股本,1267458.0,16.5,1267458.0,16.85,1267458.0,12.96,,
39,股本合計,1267458.0,16.5,1267458.0,16.85,1267458.0,12.96,,
40,資本公積,,,,,,,,
41,資本公積－認股權,115442.0,1.5,115442.0,1.53,214065.0,2.19,,
42,資本公積－其他,0.0,0.0,98623.0,1.31,0.0,0.0,,
43,資本公積合計,115442.0,1.5,214065.0,2.85,214065.0,2.19,,
44,保留盈餘,,,,,,,,
45,法定盈餘公積,1267458.0,16.5,1267458.0,16.85,1267458.0,12.96,,
46,特別盈餘公積,32770.0,0.43,24891.0,0.33,24891.0,0.25,,
47,未分配盈餘（或待彌補虧損）,485633.0,6.32,944480.0,12.56,452731.0,4.63,,
48,保留盈餘合計,1785861.0,23.25,2236829.0,29.74,1745080.0,17.84,,
49,其他權益,,,,,,,,
50,國外營運機構財務報表換算之兌換差額,-148234.0,-1.93,-32770.0,-0.44,16783.0,0.17,,
51,其他權益合計,-148234.0,-1.93,-32770.0,-0.44,16783.0,0.17,,
52,歸屬於母公司業主之權益合計,3020527.0,39.32,3685582.0,49.0,3243386.0,33.16,,
53,非控制權益,208603.0,2.72,159605.0,2.12,145936.0,1.49,,
54,權益總計,3229130.0,42.03,3845187.0,51.12,3389322.0,34.65,,
55,負債及權益總計,7682503.0,100.0,7521712.0,100.0,9781622.0,100.0,,
56,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
57,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
58,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
