,民國103年第4季,民國103年第4季,民國103年第4季,民國103年第4季,民國103年第4季,民國103年第4季,民國103年第4季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,103年12月31日,103年12月31日,102年12月31日,102年12月31日,Unnamed: 5_level_2,Unnamed: 6_level_2
,Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3,Unnamed: 6_level_3
0,流動資產,,,,,,
1,現金及約當現金,730177.0,9.94,886326.0,12.59,,
2,透過損益按公允價值衡量之金融資產－流動,351455.0,4.79,583919.0,8.29,,
3,備供出售金融資產－流動淨額,23303.0,0.32,17597.0,0.25,,
4,應收票據淨額,10957.0,0.15,12364.0,0.18,,
5,應收帳款淨額,236004.0,3.21,253720.0,3.6,,
6,其他應收款淨額,126336.0,1.72,34750.0,0.49,,
7,存貨,44265.0,0.6,39216.0,0.56,,
8,預付款項,89154.0,1.21,61230.0,0.87,,
9,其他流動資產,140035.0,1.91,213221.0,3.03,,
10,流動資產合計,1751686.0,23.85,2102343.0,29.86,,
11,非流動資產,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,,
13,不動產、廠房及設備,3190847.0,43.45,2614414.0,37.13,,
14,投資性不動產淨額,305929.0,4.17,332411.0,4.72,,
15,無形資產,1738032.0,23.67,1654541.0,23.5,,
16,遞延所得稅資產,56215.0,0.77,54985.0,0.78,,
17,其他非流動資產,300923.0,4.1,281659.0,4.0,,
18,非流動資產合計,5592446.0,76.15,4938510.0,70.14,,
19,資產總額,7344132.0,100.0,7040853.0,100.0,,
20,流動負債,,,,,,
21,短期借款,76000.0,1.03,115500.0,1.64,,
22,應付短期票券,40000.0,0.54,19000.0,0.27,,
23,透過損益按公允價值衡量之金融負債－流動,2048.0,0.03,7748.0,0.11,,
24,應付票據,9701.0,0.13,15432.0,0.22,,
25,應付帳款,293032.0,3.99,259232.0,3.68,,
26,其他應付款,644992.0,8.78,726383.0,10.32,,
27,當期所得稅負債,115293.0,1.57,129364.0,1.84,,
28,其他流動負債,442406.0,6.02,363937.0,5.17,,
29,流動負債合計,1623472.0,22.11,1636596.0,23.24,,
30,非流動負債,,,,,,
31,應付公司債,1420336.0,19.34,1398362.0,19.86,,
32,長期借款,114286.0,1.56,171429.0,2.43,,
33,遞延所得稅負債,412.0,0.01,458.0,0.01,,
34,其他非流動負債,443622.0,6.04,439113.0,6.24,,
35,非流動負債合計,1978656.0,26.94,2009362.0,28.54,,
36,負債總額,3602128.0,49.05,3645958.0,51.78,,
37,歸屬於母公司業主之權益,,,,,,
38,股本,,,,,,
39,普通股股本,1169231.0,15.92,1062937.0,15.1,,
40,股本合計,1169231.0,15.92,1062937.0,15.1,,
41,資本公積,,,,,,
42,資本公積－庫藏股票交易,98227.0,1.34,204521.0,2.9,,
43,資本公積－認股權,103299.0,1.41,103299.0,1.47,,
44,資本公積合計,201526.0,2.74,307820.0,4.37,,
45,保留盈餘,,,,,,
46,法定盈餘公積,1062937.0,14.47,966306.0,13.72,,
47,特別盈餘公積,216432.0,2.95,148541.0,2.11,,
48,未分配盈餘（或待彌補虧損）,1117561.0,15.22,1044369.0,14.83,,
49,保留盈餘合計,2396930.0,32.64,2159216.0,30.67,,
50,其他權益,,,,,,
51,國外營運機構財務報表換算之兌換差額,-124653.0,-1.7,-213465.0,-3.03,,
52,備供出售金融資產未實現損益,2739.0,0.04,-2967.0,-0.04,,
53,其他權益合計,-121914.0,-1.66,-216432.0,-3.07,,
54,歸屬於母公司業主之權益合計,3645773.0,49.64,3313541.0,47.06,,
55,非控制權益,96231.0,1.31,81354.0,1.16,,
56,權益總額,3742004.0,50.95,3394895.0,48.22,,
57,待註銷股本股數（單位：股）,0.0,,0.0,,,
58,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,,
59,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,,
