,民國105年第2季,民國105年第2季,民國105年第2季,民國105年第2季,民國105年第2季,民國105年第2季,民國105年第2季,民國105年第2季,民國105年第2季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,105年06月30日,105年06月30日,104年12月31日,104年12月31日,104年06月30日,104年06月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,2503677.0,25.6,629710.0,8.29,615192.0,8.0,,
2,透過損益按公允價值衡量之金融資產－流動,831723.0,8.5,376197.0,4.95,911901.0,11.86,,
3,應收票據淨額,11776.0,0.12,11500.0,0.15,11586.0,0.15,,
4,應收帳款淨額,211910.0,2.17,225635.0,2.97,219292.0,2.85,,
5,其他應收款淨額,31456.0,0.32,43372.0,0.57,37529.0,0.49,,
6,存貨,50737.0,0.52,72976.0,0.96,55545.0,0.72,,
7,預付款項,89193.0,0.91,81692.0,1.08,80886.0,1.05,,
8,其他流動資產,143099.0,1.46,233649.0,3.08,155973.0,2.03,,
9,流動資產合計,3873571.0,39.6,1674731.0,22.05,2087904.0,27.15,,
10,非流動資產,,,,,,,,
11,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
12,不動產、廠房及設備,3400837.0,34.77,3434424.0,45.21,3262709.0,42.43,,
13,投資性不動產淨額,356471.0,3.64,311291.0,4.1,289971.0,3.77,,
14,無形資產,1753118.0,17.92,1786596.0,23.52,1689255.0,21.97,,
15,遞延所得稅資產,125975.0,1.29,114375.0,1.51,59753.0,0.78,,
16,其他非流動資產,271150.0,2.77,274109.0,3.61,299607.0,3.9,,
17,非流動資產合計,5908051.0,60.4,5921295.0,77.95,5601795.0,72.85,,
18,資產總計,9781622.0,100.0,7596026.0,100.0,7689699.0,100.0,,
19,流動負債,,,,,,,,
20,短期借款,490579.0,5.02,107500.0,1.42,76000.0,0.99,,
21,應付短期票券,43500.0,0.44,39600.0,0.52,35500.0,0.46,,
22,透過損益按公允價值衡量之金融負債－流動,21064.0,0.22,1898.0,0.02,9098.0,0.12,,
23,應付票據,4225.0,0.04,17417.0,0.23,9664.0,0.13,,
24,應付帳款,258091.0,2.64,301072.0,3.96,270042.0,3.51,,
25,其他應付款,1754734.0,17.94,696662.0,9.17,1677819.0,21.82,,
26,本期所得稅負債,110761.0,1.13,114856.0,1.51,125033.0,1.63,,
27,其他流動負債,1854003.0,18.95,1905954.0,25.09,352859.0,4.59,,
28,流動負債合計,4536957.0,46.38,3184959.0,41.93,2556015.0,33.24,,
29,非流動負債,,,,,,,,
30,應付公司債,1378818.0,14.1,0.0,0.0,1431452.0,18.62,,
31,長期借款,28571.0,0.29,57143.0,0.75,85714.0,1.11,,
32,遞延所得稅負債,29.0,0.0,29.0,0.0,412.0,0.01,,
33,其他非流動負債,447925.0,4.58,446098.0,5.87,436180.0,5.67,,
34,非流動負債合計,1855343.0,18.97,503270.0,6.63,1953758.0,25.41,,
35,負債總計,6392300.0,65.35,3688229.0,48.55,4509773.0,58.65,,
36,歸屬於母公司業主之權益,,,,,,,,
37,股本,,,,,,,,
38,普通股股本,1267458.0,12.96,1267458.0,16.69,1169231.0,15.21,,
39,待分配股票股利,0.0,0.0,0.0,0.0,98227.0,1.28,,
40,股本合計,1267458.0,12.96,1267458.0,16.69,1267458.0,16.48,,
41,資本公積,,,,,,,,
42,資本公積－認股權,214065.0,2.19,103299.0,1.36,103299.0,1.34,,
43,資本公積合計,214065.0,2.19,103299.0,1.36,103299.0,1.34,,
44,保留盈餘,,,,,,,,
45,法定盈餘公積,1267458.0,12.96,1169230.0,15.39,1169230.0,15.21,,
46,特別盈餘公積,24891.0,0.25,121914.0,1.6,121914.0,1.59,,
47,未分配盈餘（或待彌補虧損）,452731.0,4.63,1125727.0,14.82,580476.0,7.55,,
48,保留盈餘合計,1745080.0,17.84,2416871.0,31.82,1871620.0,24.34,,
49,其他權益,,,,,,,,
50,國外營運機構財務報表換算之兌換差額,16783.0,0.17,-24891.0,-0.33,-166273.0,-2.16,,
51,其他權益合計,16783.0,0.17,-24891.0,-0.33,-166273.0,-2.16,,
52,歸屬於母公司業主之權益合計,3243386.0,33.16,3762737.0,49.54,3076104.0,40.0,,
53,非控制權益,145936.0,1.49,145060.0,1.91,103822.0,1.35,,
54,權益總計,3389322.0,34.65,3907797.0,51.45,3179926.0,41.35,,
55,負債及權益總計,9781622.0,100.0,7596026.0,100.0,7689699.0,100.0,,
56,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
57,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
