,民國104年第4季,民國104年第4季,民國104年第4季,民國104年第4季,民國104年第4季,民國104年第4季,民國104年第4季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,104年12月31日,104年12月31日,103年12月31日,103年12月31日,Unnamed: 5_level_2,Unnamed: 6_level_2
,Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3,Unnamed: 6_level_3
0,流動資產,,,,,,
1,現金及約當現金,629710.0,8.29,730177.0,9.94,,
2,透過損益按公允價值衡量之金融資產－流動,376197.0,4.95,351455.0,4.79,,
3,備供出售金融資產－流動淨額,0.0,0.0,23303.0,0.32,,
4,應收票據淨額,11500.0,0.15,10957.0,0.15,,
5,應收帳款淨額,225635.0,2.97,236004.0,3.21,,
6,其他應收款淨額,43372.0,0.57,126336.0,1.72,,
7,存貨,72976.0,0.96,44265.0,0.6,,
8,預付款項,81692.0,1.08,89481.0,1.22,,
9,其他流動資產,233649.0,3.08,140035.0,1.91,,
10,流動資產合計,1674731.0,22.05,1752013.0,23.85,,
11,非流動資產,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,,
13,不動產、廠房及設備,3434424.0,45.21,3190847.0,43.45,,
14,投資性不動產淨額,311291.0,4.1,305929.0,4.17,,
15,無形資產,1786596.0,23.52,1738032.0,23.66,,
16,遞延所得稅資產,114375.0,1.51,56215.0,0.77,,
17,其他非流動資產,274109.0,3.61,300923.0,4.1,,
18,非流動資產合計,5921295.0,77.95,5592446.0,76.15,,
19,資產總計,7596026.0,100.0,7344459.0,100.0,,
20,流動負債,,,,,,
21,短期借款,107500.0,1.42,76000.0,1.03,,
22,應付短期票券,39600.0,0.52,40000.0,0.54,,
23,透過損益按公允價值衡量之金融負債－流動,1898.0,0.02,2048.0,0.03,,
24,應付票據,17417.0,0.23,9701.0,0.13,,
25,應付帳款,301072.0,3.96,293032.0,3.99,,
26,其他應付款,696662.0,9.17,644992.0,8.78,,
27,本期所得稅負債,114856.0,1.51,115293.0,1.57,,
28,其他流動負債,1905954.0,25.09,442406.0,6.02,,
29,流動負債合計,3184959.0,41.93,1623472.0,22.1,,
30,非流動負債,,,,,,
31,應付公司債,0.0,0.0,1420336.0,19.34,,
32,長期借款,57143.0,0.75,114286.0,1.56,,
33,遞延所得稅負債,29.0,0.0,467.0,0.01,,
34,其他非流動負債,446098.0,5.87,437841.0,5.96,,
35,非流動負債合計,503270.0,6.63,1972930.0,26.86,,
36,負債總計,3688229.0,48.55,3596402.0,48.97,,
37,歸屬於母公司業主之權益,,,,,,
38,股本,,,,,,
39,普通股股本,1267458.0,16.69,1169231.0,15.92,,
40,股本合計,1267458.0,16.69,1169231.0,15.92,,
41,資本公積,,,,,,
42,資本公積－庫藏股票交易,0.0,0.0,98227.0,1.34,,
43,資本公積－認股權,103299.0,1.36,103299.0,1.41,,
44,資本公積合計,103299.0,1.36,201526.0,2.74,,
45,保留盈餘,,,,,,
46,法定盈餘公積,1169230.0,15.39,1062937.0,14.47,,
47,特別盈餘公積,121914.0,1.6,216432.0,2.95,,
48,未分配盈餘（或待彌補虧損）,1125727.0,14.82,1123614.0,15.3,,
49,保留盈餘合計,2416871.0,31.82,2402983.0,32.72,,
50,其他權益,,,,,,
51,國外營運機構財務報表換算之兌換差額,-24891.0,-0.33,-124653.0,-1.7,,
52,備供出售金融資產未實現損益,0.0,0.0,2739.0,0.04,,
53,其他權益合計,-24891.0,-0.33,-121914.0,-1.66,,
54,歸屬於母公司業主之權益合計,3762737.0,49.54,3651826.0,49.72,,
55,非控制權益,145060.0,1.91,96231.0,1.31,,
56,權益總計,3907797.0,51.45,3748057.0,51.03,,
57,負債及權益總計,7596026.0,100.0,7344459.0,100.0,,
58,待註銷股本股數（單位：股）,0.0,,0.0,,,
59,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,,
60,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,,
