,民國105年第3季,民國105年第3季,民國105年第3季,民國105年第3季,民國105年第3季,民國105年第3季,民國105年第3季,民國105年第3季,民國105年第3季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,105年09月30日,105年09月30日,104年12月31日,104年12月31日,104年09月30日,104年09月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,841446.0,11.32,629710.0,8.29,702858.0,9.73,,
2,透過損益按公允價值衡量之金融資產－流動,212536.0,2.86,376197.0,4.95,334892.0,4.64,,
3,應收票據淨額,17497.0,0.24,11500.0,0.15,16492.0,0.23,,
4,應收帳款淨額,260894.0,3.51,225635.0,2.97,215381.0,2.98,,
5,其他應收款淨額,37145.0,0.5,43372.0,0.57,27762.0,0.38,,
6,存貨,50375.0,0.68,72976.0,0.96,53573.0,0.74,,
7,預付款項,77913.0,1.05,81692.0,1.08,86082.0,1.19,,
8,其他流動資產,120084.0,1.62,233649.0,3.08,118682.0,1.64,,
9,流動資產合計,1617890.0,21.76,1674731.0,22.05,1555722.0,21.53,,
10,非流動資產,,,,,,,,
11,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
12,不動產、廠房及設備,3350856.0,45.07,3434424.0,45.21,3224590.0,44.63,,
13,投資性不動產淨額,351474.0,4.73,311291.0,4.1,313666.0,4.34,,
14,無形資產,1709229.0,22.99,1786596.0,23.52,1792170.0,24.81,,
15,遞延所得稅資產,127249.0,1.71,114375.0,1.51,56475.0,0.78,,
16,其他非流動資產,276806.0,3.72,274109.0,3.61,281356.0,3.89,,
17,非流動資產合計,5816114.0,78.24,5921295.0,77.95,5668757.0,78.47,,
18,資產總計,7434004.0,100.0,7596026.0,100.0,7224479.0,100.0,,
19,流動負債,,,,,,,,
20,短期借款,495105.0,6.66,107500.0,1.42,412000.0,5.7,,
21,應付短期票券,114200.0,1.54,39600.0,0.52,73000.0,1.01,,
22,透過損益按公允價值衡量之金融負債－流動,8880.0,0.12,1898.0,0.02,4598.0,0.06,,
23,應付票據,4695.0,0.06,17417.0,0.23,13930.0,0.19,,
24,應付帳款,248274.0,3.34,301072.0,3.96,207857.0,2.88,,
25,其他應付款,646587.0,8.7,696662.0,9.17,626906.0,8.68,,
26,本期所得稅負債,35290.0,0.47,114856.0,1.51,49577.0,0.69,,
27,其他流動負債,425427.0,5.72,1905954.0,25.09,353609.0,4.89,,
28,流動負債合計,1978458.0,26.61,3184959.0,41.93,1741477.0,24.11,,
29,非流動負債,,,,,,,,
30,應付公司債,1450710.0,19.51,0.0,0.0,1437043.0,19.89,,
31,長期借款,14286.0,0.19,57143.0,0.75,71428.0,0.99,,
32,遞延所得稅負債,29.0,0.0,29.0,0.0,412.0,0.01,,
33,其他非流動負債,449667.0,6.05,446098.0,5.87,434220.0,6.01,,
34,非流動負債合計,1914692.0,25.76,503270.0,6.63,1943103.0,26.9,,
35,負債總計,3893150.0,52.37,3688229.0,48.55,3684580.0,51.0,,
36,歸屬於母公司業主之權益,,,,,,,,
37,股本,,,,,,,,
38,普通股股本,1267458.0,17.05,1267458.0,16.69,1267458.0,17.54,,
39,股本合計,1267458.0,17.05,1267458.0,16.69,1267458.0,17.54,,
40,資本公積,,,,,,,,
41,資本公積－認股權,115442.0,1.55,103299.0,1.36,103299.0,1.43,,
42,資本公積－其他,98623.0,1.33,0.0,0.0,0.0,0.0,,
43,資本公積合計,214065.0,2.88,103299.0,1.36,103299.0,1.43,,
44,保留盈餘,,,,,,,,
45,法定盈餘公積,1267458.0,17.05,1169230.0,15.39,1169230.0,16.18,,
46,特別盈餘公積,24891.0,0.33,121914.0,1.6,121914.0,1.69,,
47,未分配盈餘（或待彌補虧損）,649198.0,8.73,1125727.0,14.82,793528.0,10.98,,
48,保留盈餘合計,1941547.0,26.12,2416871.0,31.82,2084672.0,28.86,,
49,其他權益,,,,,,,,
50,國外營運機構財務報表換算之兌換差額,-34822.0,-0.47,-24891.0,-0.33,-28495.0,-0.39,,
51,其他權益合計,-34822.0,-0.47,-24891.0,-0.33,-28495.0,-0.39,,
52,歸屬於母公司業主之權益合計,3388248.0,45.58,3762737.0,49.54,3426934.0,47.44,,
53,非控制權益,152606.0,2.05,145060.0,1.91,112965.0,1.56,,
54,權益總計,3540854.0,47.63,3907797.0,51.45,3539899.0,49.0,,
55,負債及權益總計,7434004.0,100.0,7596026.0,100.0,7224479.0,100.0,,
56,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
57,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
58,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
