,民國107年第2季,民國107年第2季,民國107年第2季,民國107年第2季,民國107年第2季,民國107年第2季,民國107年第2季,民國107年第2季,民國107年第2季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,107年06月30日,107年06月30日,106年12月31日,106年12月31日,106年06月30日,106年06月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,367203.0,4.64,453263.0,6.14,505571.0,6.58,,
2,透過損益按公允價值衡量之金融資產－流動,1164550.0,14.71,676308.0,9.16,1056772.0,13.76,,
3,應收票據淨額,33401.0,0.42,39886.0,0.54,13922.0,0.18,,
4,應收帳款淨額,164876.0,2.08,329850.0,4.47,255775.0,3.33,,
5,其他應收款淨額,410164.0,5.18,57456.0,0.78,38516.0,0.5,,
6,存貨,67746.0,0.86,104471.0,1.42,62789.0,0.82,,
7,預付款項,62777.0,0.79,74873.0,1.01,84671.0,1.1,,
8,其他流動資產,169662.0,2.14,295497.0,4.0,183244.0,2.39,,
9,流動資產合計,2440379.0,30.82,2031604.0,27.52,2201260.0,28.65,,
10,非流動資產,,,,,,,,
11,透過其他綜合損益按公允價值衡量之金融資產－非流動,500.0,0.01,0.0,0.0,0.0,0.0,,
12,以成本衡量之金融資產－非流動淨額,0.0,0.0,500.0,0.01,500.0,0.01,,
13,採用權益法之投資淨額,1097674.0,13.86,0.0,0.0,0.0,0.0,,
14,不動產、廠房及設備,2955007.0,37.32,3089228.0,41.85,3143545.0,40.92,,
15,投資性不動產淨額,304266.0,3.84,293831.0,3.98,304055.0,3.96,,
16,無形資產,39194.0,0.49,1603487.0,21.72,1646738.0,21.43,,
17,遞延所得稅資產,61852.0,0.78,91331.0,1.24,106445.0,1.39,,
18,其他非流動資產,1019290.0,12.87,272335.0,3.69,279960.0,3.64,,
19,非流動資產合計,5477783.0,69.18,5350712.0,72.48,5481243.0,71.35,,
20,資產總額,7918162.0,100.0,7382316.0,100.0,7682503.0,100.0,,
21,流動負債,,,,,,,,
22,短期借款,0.0,0.0,23000.0,0.31,15500.0,0.2,,
23,應付短期票券,12500.0,0.16,0.0,0.0,56200.0,0.73,,
24,透過損益按公允價值衡量之金融負債－流動,37016.0,0.47,20366.0,0.28,19466.0,0.25,,
25,合約負債－流動,388706.0,4.91,0.0,0.0,0.0,0.0,,
26,應付票據,3796.0,0.05,9473.0,0.13,3881.0,0.05,,
27,應付帳款,254718.0,3.22,301819.0,4.09,269118.0,3.5,,
28,其他應付款,1523376.0,19.24,792125.0,10.73,1699463.0,22.12,,
29,本期所得稅負債,104769.0,1.32,91305.0,1.24,92327.0,1.2,,
30,其他流動負債,1514038.0,19.12,570178.0,7.72,421151.0,5.48,,
31,流動負債合計,3838919.0,48.48,1808266.0,24.49,2577106.0,33.55,,
32,非流動負債,,,,,,,,
33,合約負債－非流動,9455.0,0.12,0.0,0.0,0.0,0.0,,
34,應付公司債,0.0,0.0,1414107.0,19.16,1469094.0,19.12,,
35,遞延所得稅負債,11.0,0.0,9.0,0.0,7.0,0.0,,
36,其他非流動負債,373266.0,4.71,408047.0,5.53,407166.0,5.3,,
37,非流動負債合計,382732.0,4.83,1822163.0,24.68,1876267.0,24.42,,
38,負債總額,4221651.0,53.32,3630429.0,49.18,4453373.0,57.97,,
39,歸屬於母公司業主之權益,,,,,,,,
40,股本,,,,,,,,
41,普通股股本,1267458.0,16.01,1267458.0,17.17,1267458.0,16.5,,
42,股本合計,1267458.0,16.01,1267458.0,17.17,1267458.0,16.5,,
43,資本公積,,,,,,,,
44,資本公積－認股權,115442.0,1.46,115442.0,1.56,115442.0,1.5,,
45,資本公積合計,115442.0,1.46,115442.0,1.56,115442.0,1.5,,
46,保留盈餘,,,,,,,,
47,法定盈餘公積,1267458.0,16.01,1267458.0,17.17,1267458.0,16.5,,
48,特別盈餘公積,201929.0,2.55,32770.0,0.44,32770.0,0.43,,
49,未分配盈餘（或待彌補虧損）,787845.0,9.95,1045289.0,14.16,485633.0,6.32,,
50,保留盈餘合計,2257232.0,28.51,2345517.0,31.77,1785861.0,23.25,,
51,其他權益,,,,,,,,
52,國外營運機構財務報表換算之兌換差額,-173582.0,-2.19,-201929.0,-2.74,-148234.0,-1.93,,
53,其他權益合計,-173582.0,-2.19,-201929.0,-2.74,-148234.0,-1.93,,
54,歸屬於母公司業主之權益合計,3466550.0,43.78,3526488.0,47.77,3020527.0,39.32,,
55,非控制權益,229961.0,2.9,225399.0,3.05,208603.0,2.72,,
56,權益總額,3696511.0,46.68,3751887.0,50.82,3229130.0,42.03,,
57,負債及權益總計,7918162.0,100.0,7382316.0,100.0,7682503.0,100.0,,
58,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
59,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
60,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
