,民國107年第3季,民國107年第3季,民國107年第3季,民國107年第3季,民國107年第3季,民國107年第3季,民國107年第3季,民國107年第3季,民國107年第3季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,107年09月30日,107年09月30日,106年12月31日,106年12月31日,106年09月30日,106年09月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,805559.0,11.13,453263.0,6.14,503682.0,7.14,,
2,透過損益按公允價值衡量之金融資產－流動,614233.0,8.49,676308.0,9.16,490921.0,6.96,,
3,按攤銷後成本衡量之金融資產－流動淨額,64273.0,0.89,0.0,0.0,0.0,0.0,,
4,應收票據淨額,29352.0,0.41,39886.0,0.54,15496.0,0.22,,
5,應收帳款淨額,194841.0,2.69,329850.0,4.47,277018.0,3.93,,
6,其他應收款淨額,24103.0,0.33,57456.0,0.78,43321.0,0.61,,
7,存貨,62878.0,0.87,104471.0,1.42,79171.0,1.12,,
8,預付款項,65498.0,0.91,74873.0,1.01,92546.0,1.31,,
9,其他流動資產,0.0,0.0,295497.0,4.0,159283.0,2.26,,
10,流動資產合計,1860737.0,25.72,2031604.0,27.52,1661438.0,23.56,,
11,非流動資產,,,,,,,,
12,透過其他綜合損益按公允價值衡量之金融資產－非流動,500.0,0.01,0.0,0.0,0.0,0.0,,
13,按攤銷後成本衡量之金融資產－非流動淨額,39406.0,0.54,0.0,0.0,0.0,0.0,,
14,以成本衡量之金融資產－非流動淨額,0.0,0.0,500.0,0.01,500.0,0.01,,
15,採用權益法之投資淨額,1100194.0,15.2,0.0,0.0,0.0,0.0,,
16,不動產、廠房及設備,2880830.0,39.81,3089228.0,41.85,3081291.0,43.69,,
17,投資性不動產淨額,296428.0,4.1,293831.0,3.98,300269.0,4.26,,
18,無形資產,35760.0,0.49,1603487.0,21.72,1634104.0,23.17,,
19,遞延所得稅資產,53567.0,0.74,91331.0,1.24,94884.0,1.35,,
20,其他非流動資產,968522.0,13.38,272335.0,3.69,280485.0,3.98,,
21,非流動資產合計,5375207.0,74.28,5350712.0,72.48,5391533.0,76.44,,
22,資產總額,7235944.0,100.0,7382316.0,100.0,7052971.0,100.0,,
23,流動負債,,,,,,,,
24,短期借款,0.0,0.0,23000.0,0.31,103800.0,1.47,,
25,應付短期票券,0.0,0.0,0.0,0.0,90000.0,1.28,,
26,透過損益按公允價值衡量之金融負債－流動,44066.0,0.61,20366.0,0.28,21866.0,0.31,,
27,合約負債－流動,391212.0,5.41,0.0,0.0,0.0,0.0,,
28,應付票據,5855.0,0.08,9473.0,0.13,5254.0,0.07,,
29,應付帳款,246439.0,3.41,301819.0,4.09,273143.0,3.87,,
30,其他應付款,727017.0,10.05,792125.0,10.73,763638.0,10.83,,
31,本期所得稅負債,59017.0,0.82,91305.0,1.24,28944.0,0.41,,
32,其他流動負債,1447829.0,20.01,570178.0,7.72,476931.0,6.76,,
33,流動負債合計,2921435.0,40.37,1808266.0,24.49,1763576.0,25.0,,
34,非流動負債,,,,,,,,
35,合約負債－非流動,9860.0,0.14,0.0,0.0,0.0,0.0,,
36,應付公司債,0.0,0.0,1414107.0,19.16,1408163.0,19.97,,
37,遞延所得稅負債,11.0,0.0,9.0,0.0,7.0,0.0,,
38,其他非流動負債,374243.0,5.17,408047.0,5.53,403138.0,5.72,,
39,非流動負債合計,384114.0,5.31,1822163.0,24.68,1811308.0,25.68,,
40,負債總額,3305549.0,45.68,3630429.0,49.18,3574884.0,50.69,,
41,歸屬於母公司業主之權益,,,,,,,,
42,股本,,,,,,,,
43,普通股股本,1267458.0,17.52,1267458.0,17.17,1267458.0,17.97,,
44,股本合計,1267458.0,17.52,1267458.0,17.17,1267458.0,17.97,,
45,資本公積,,,,,,,,
46,資本公積－認股權,115442.0,1.6,115442.0,1.56,115442.0,1.64,,
47,資本公積合計,115442.0,1.6,115442.0,1.56,115442.0,1.64,,
48,保留盈餘,,,,,,,,
49,法定盈餘公積,1267458.0,17.52,1267458.0,17.17,1267458.0,17.97,,
50,特別盈餘公積,201929.0,2.79,32770.0,0.44,32770.0,0.46,,
51,未分配盈餘（或待彌補虧損）,1015105.0,14.03,1045289.0,14.16,742457.0,10.53,,
52,保留盈餘合計,2484492.0,34.34,2345517.0,31.77,2042685.0,28.96,,
53,其他權益,,,,,,,,
54,國外營運機構財務報表換算之兌換差額,-185051.0,-2.56,-201929.0,-2.74,-163507.0,-2.32,,
55,其他權益合計,-185051.0,-2.56,-201929.0,-2.74,-163507.0,-2.32,,
56,歸屬於母公司業主之權益合計,3682341.0,50.89,3526488.0,47.77,3262078.0,46.25,,
57,非控制權益,248054.0,3.43,225399.0,3.05,216009.0,3.06,,
58,權益總額,3930395.0,54.32,3751887.0,50.82,3478087.0,49.31,,
59,負債及權益總計,7235944.0,100.0,7382316.0,100.0,7052971.0,100.0,,
60,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
61,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
62,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
