,民國103年第2季,民國103年第2季,民國103年第2季,民國103年第2季,民國103年第2季,民國103年第2季,民國103年第2季,民國103年第2季,民國103年第2季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,103年06月30日,103年06月30日,102年12月31日,102年12月31日,102年06月30日,102年06月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,816568.0,10.93,886326.0,12.59,629820.0,9.58,,
2,透過損益按公允價值衡量之金融資產－流動,772265.0,10.34,583919.0,8.29,649630.0,9.88,,
3,備供出售金融資產－流動淨額,16472.0,0.22,17597.0,0.25,18160.0,0.28,,
4,應收票據淨額,25170.0,0.34,12364.0,0.18,19084.0,0.29,,
5,應收帳款淨額,213611.0,2.86,253720.0,3.6,243193.0,3.7,,
6,其他應收款淨額,30302.0,0.41,34750.0,0.49,43067.0,0.66,,
7,存貨,36652.0,0.49,39216.0,0.56,31556.0,0.48,,
8,預付款項,104945.0,1.4,61230.0,0.87,82679.0,1.26,,
9,其他流動資產,112992.0,1.51,213221.0,3.03,149000.0,2.27,,
10,流動資產合計,2128977.0,28.49,2102343.0,29.86,1866189.0,28.38,,
11,非流動資產,,,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
13,不動產、廠房及設備,2990193.0,40.02,2614414.0,37.13,2380881.0,36.21,,
14,投資性不動產淨額,342777.0,4.59,332411.0,4.72,357706.0,5.44,,
15,無形資產,1650847.0,22.09,1654541.0,23.5,1671398.0,25.42,,
16,遞延所得稅資產,53387.0,0.71,54985.0,0.78,65159.0,0.99,,
17,其他非流動資產,305055.0,4.08,281659.0,4.0,232900.0,3.54,,
18,非流動資產合計,5342759.0,71.51,4938510.0,70.14,4708544.0,71.62,,
19,資產總額,7471736.0,100.0,7040853.0,100.0,6574733.0,100.0,,
20,流動負債,,,,,,,,
21,短期借款,113000.0,1.51,115500.0,1.64,351408.0,5.34,,
22,應付短期票券,24000.0,0.32,19000.0,0.27,22000.0,0.33,,
23,透過損益按公允價值衡量之金融負債－流動,4748.0,0.06,7748.0,0.11,0.0,0.0,,
24,應付票據,24223.0,0.32,15432.0,0.22,17926.0,0.27,,
25,應付帳款,277033.0,3.71,259232.0,3.68,240906.0,3.66,,
26,其他應付款,1497242.0,20.04,726383.0,10.32,1425310.0,21.68,,
27,當期所得稅負債,121394.0,1.62,129364.0,1.84,114615.0,1.74,,
28,其他流動負債,350869.0,4.7,363937.0,5.17,637729.0,9.7,,
29,流動負債合計,2412509.0,32.29,1636596.0,23.24,2809894.0,42.74,,
30,非流動負債,,,,,,,,
31,應付公司債,1409306.0,18.86,1398362.0,19.86,0.0,0.0,,
32,長期借款,142857.0,1.91,171429.0,2.43,535776.0,8.15,,
33,遞延所得稅負債,522.0,0.01,458.0,0.01,11010.0,0.17,,
34,其他非流動負債,443405.0,5.93,439113.0,6.24,443242.0,6.74,,
35,非流動負債合計,1996090.0,26.72,2009362.0,28.54,990028.0,15.06,,
36,負債總額,4408599.0,59.0,3645958.0,51.78,3799922.0,57.8,,
37,歸屬於母公司業主之權益,,,,,,,,
38,股本,,,,,,,,
39,普通股股本,1062937.0,14.23,1062937.0,15.1,966306.0,14.7,,
40,待分配股票股利,106294.0,1.42,0.0,0.0,96631.0,1.47,,
41,股本合計,1169231.0,15.65,1062937.0,15.1,1062937.0,16.17,,
42,資本公積,,,,,,,,
43,資本公積－庫藏股票交易,98227.0,1.31,204521.0,2.9,204521.0,3.11,,
44,資本公積－認股權,103299.0,1.38,103299.0,1.47,0.0,0.0,,
45,資本公積合計,201526.0,2.7,307820.0,4.37,204521.0,3.11,,
46,保留盈餘,,,,,,,,
47,法定盈餘公積,1062937.0,14.23,966306.0,13.72,966306.0,14.7,,
48,特別盈餘公積,216432.0,2.9,148541.0,2.11,148541.0,2.26,,
49,未分配盈餘（或待彌補虧損）,520970.0,6.97,1044369.0,14.83,474450.0,7.22,,
50,保留盈餘合計,1800339.0,24.1,2159216.0,30.67,1589297.0,24.17,,
51,其他權益,,,,,,,,
52,國外營運機構財務報表換算之兌換差額,-189224.0,-2.53,-213465.0,-3.03,-161042.0,-2.45,,
53,備供出售金融資產未實現損益,-4092.0,-0.05,-2967.0,-0.04,-2404.0,-0.04,,
54,其他權益合計,-193316.0,-2.59,-216432.0,-3.07,-163446.0,-2.49,,
55,歸屬於母公司業主之權益合計,2977780.0,39.85,3313541.0,47.06,2693309.0,40.96,,
56,非控制權益,85357.0,1.14,81354.0,1.16,81502.0,1.24,,
57,權益總額,3063137.0,41.0,3394895.0,48.22,2774811.0,42.2,,
58,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
59,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
60,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
