,民國106年第1季,民國106年第1季,民國106年第1季,民國106年第1季,民國106年第1季,民國106年第1季,民國106年第1季,民國106年第1季,民國106年第1季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,106年03月31日,106年03月31日,105年12月31日,105年12月31日,105年03月31日,105年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,447659.0,6.06,500403.0,6.65,580724.0,7.6,,
2,透過損益按公允價值衡量之金融資產－流動,745746.0,10.09,517581.0,6.88,499434.0,6.54,,
3,應收票據淨額,14728.0,0.2,34646.0,0.46,14465.0,0.19,,
4,應收帳款淨額,251595.0,3.4,281085.0,3.74,244199.0,3.2,,
5,其他應收款淨額,32357.0,0.44,51824.0,0.69,30320.0,0.4,,
6,存貨,63738.0,0.86,70147.0,0.93,56096.0,0.73,,
7,預付款項,84821.0,1.15,73700.0,0.98,87293.0,1.14,,
8,其他流動資產,202536.0,2.74,245862.0,3.27,186300.0,2.44,,
9,流動資產合計,1843180.0,24.93,1775248.0,23.6,1698831.0,22.23,,
10,非流動資產,,,,,,,,
11,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
12,不動產、廠房及設備,3204119.0,43.34,3280192.0,43.61,3472618.0,45.45,,
13,投資性不動產淨額,304715.0,4.12,310556.0,4.13,325765.0,4.26,,
14,無形資產,1646099.0,22.27,1752231.0,23.3,1749330.0,22.89,,
15,遞延所得稅資產,113421.0,1.53,122888.0,1.63,120324.0,1.57,,
16,其他非流動資產,280510.0,3.79,280097.0,3.72,273361.0,3.58,,
17,非流動資產合計,5549364.0,75.07,5746464.0,76.4,5941898.0,77.77,,
18,資產總計,7392544.0,100.0,7521712.0,100.0,7640729.0,100.0,,
19,流動負債,,,,,,,,
20,短期借款,19600.0,0.27,19600.0,0.26,61400.0,0.8,,
21,應付短期票券,57000.0,0.77,56000.0,0.74,39000.0,0.51,,
22,透過損益按公允價值衡量之金融負債－流動,23066.0,0.31,21480.0,0.29,5048.0,0.07,,
23,應付票據,6215.0,0.08,16971.0,0.23,9572.0,0.13,,
24,應付帳款,231599.0,3.13,300715.0,4.0,251657.0,3.29,,
25,其他應付款,602222.0,8.15,718779.0,9.56,580627.0,7.6,,
26,本期所得稅負債,148208.0,2.0,102466.0,1.36,178234.0,2.33,,
27,其他流動負債,471536.0,6.38,523382.0,6.96,1880001.0,24.6,,
28,流動負債合計,1559446.0,21.09,1759393.0,23.39,3005539.0,39.34,,
29,非流動負債,,,,,,,,
30,應付公司債,1462940.0,19.79,1456812.0,19.37,0.0,0.0,,
31,長期借款,0.0,0.0,0.0,0.0,42857.0,0.56,,
32,遞延所得稅負債,7.0,0.0,7.0,0.0,29.0,0.0,,
33,其他非流動負債,408030.0,5.52,460313.0,6.12,450369.0,5.89,,
34,非流動負債合計,1870977.0,25.31,1917132.0,25.49,493255.0,6.46,,
35,負債總計,3430423.0,46.4,3676525.0,48.88,3498794.0,45.79,,
36,歸屬於母公司業主之權益,,,,,,,,
37,股本,,,,,,,,
38,普通股股本,1267458.0,17.15,1267458.0,16.85,1267458.0,16.59,,
39,股本合計,1267458.0,17.15,1267458.0,16.85,1267458.0,16.59,,
40,資本公積,,,,,,,,
41,資本公積－認股權,115442.0,1.56,115442.0,1.53,103299.0,1.35,,
42,資本公積－其他,98623.0,1.33,98623.0,1.31,0.0,0.0,,
43,資本公積合計,214065.0,2.9,214065.0,2.85,103299.0,1.35,,
44,保留盈餘,,,,,,,,
45,法定盈餘公積,1267458.0,17.15,1267458.0,16.85,1169230.0,15.3,,
46,特別盈餘公積,24891.0,0.34,24891.0,0.33,121914.0,1.6,,
47,未分配盈餘（或待彌補虧損）,1177874.0,15.93,944480.0,12.56,1381720.0,18.08,,
48,保留盈餘合計,2470223.0,33.42,2236829.0,29.74,2672864.0,34.98,,
49,其他權益,,,,,,,,
50,國外營運機構財務報表換算之兌換差額,-150856.0,-2.04,-32770.0,-0.44,-43295.0,-0.57,,
51,其他權益合計,-150856.0,-2.04,-32770.0,-0.44,-43295.0,-0.57,,
52,歸屬於母公司業主之權益合計,3800890.0,51.42,3685582.0,49.0,4000326.0,52.36,,
53,非控制權益,161231.0,2.18,159605.0,2.12,141609.0,1.85,,
54,權益總計,3962121.0,53.6,3845187.0,51.12,4141935.0,54.21,,
55,負債及權益總計,7392544.0,100.0,7521712.0,100.0,7640729.0,100.0,,
56,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
57,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
58,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
