,民國106年第4季,民國106年第4季,民國106年第4季,民國106年第4季,民國106年第4季,民國106年第4季,民國106年第4季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,106年12月31日,106年12月31日,105年12月31日,105年12月31日,Unnamed: 5_level_2,Unnamed: 6_level_2
,Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3,Unnamed: 6_level_3
0,流動資產,,,,,,
1,現金及約當現金,453263.0,6.14,500403.0,6.65,,
2,透過損益按公允價值衡量之金融資產－流動,676308.0,9.16,517581.0,6.88,,
3,應收票據淨額,39886.0,0.54,34646.0,0.46,,
4,應收帳款淨額,329850.0,4.47,281085.0,3.74,,
5,其他應收款淨額,57456.0,0.78,51824.0,0.69,,
6,存貨,104471.0,1.42,70147.0,0.93,,
7,預付款項,74873.0,1.01,73700.0,0.98,,
8,其他流動資產,295497.0,4.0,245862.0,3.27,,
9,流動資產合計,2031604.0,27.52,1775248.0,23.6,,
10,非流動資產,,,,,,
11,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,,
12,不動產、廠房及設備,3089228.0,41.85,3280192.0,43.61,,
13,投資性不動產淨額,293831.0,3.98,310556.0,4.13,,
14,無形資產,1603487.0,21.72,1752231.0,23.3,,
15,遞延所得稅資產,91331.0,1.24,122888.0,1.63,,
16,其他非流動資產,272335.0,3.69,280097.0,3.72,,
17,非流動資產合計,5350712.0,72.48,5746464.0,76.4,,
18,資產總計,7382316.0,100.0,7521712.0,100.0,,
19,流動負債,,,,,,
20,短期借款,23000.0,0.31,19600.0,0.26,,
21,應付短期票券,0.0,0.0,56000.0,0.74,,
22,透過損益按公允價值衡量之金融負債－流動,20366.0,0.28,21480.0,0.29,,
23,應付票據,9473.0,0.13,16971.0,0.23,,
24,應付帳款,301819.0,4.09,300715.0,4.0,,
25,其他應付款,792125.0,10.73,718779.0,9.56,,
26,本期所得稅負債,91305.0,1.24,102466.0,1.36,,
27,其他流動負債,570178.0,7.72,523382.0,6.96,,
28,流動負債合計,1808266.0,24.49,1759393.0,23.39,,
29,非流動負債,,,,,,
30,應付公司債,1414107.0,19.16,1456812.0,19.37,,
31,遞延所得稅負債,9.0,0.0,7.0,0.0,,
32,其他非流動負債,408047.0,5.53,460313.0,6.12,,
33,非流動負債合計,1822163.0,24.68,1917132.0,25.49,,
34,負債總計,3630429.0,49.18,3676525.0,48.88,,
35,歸屬於母公司業主之權益,,,,,,
36,股本,,,,,,
37,普通股股本,1267458.0,17.17,1267458.0,16.85,,
38,股本合計,1267458.0,17.17,1267458.0,16.85,,
39,資本公積,,,,,,
40,資本公積－認股權,115442.0,1.56,115442.0,1.53,,
41,資本公積－其他,0.0,0.0,98623.0,1.31,,
42,資本公積合計,115442.0,1.56,214065.0,2.85,,
43,保留盈餘,,,,,,
44,法定盈餘公積,1267458.0,17.17,1267458.0,16.85,,
45,特別盈餘公積,32770.0,0.44,24891.0,0.33,,
46,未分配盈餘（或待彌補虧損）,1045289.0,14.16,944480.0,12.56,,
47,保留盈餘合計,2345517.0,31.77,2236829.0,29.74,,
48,其他權益,,,,,,
49,國外營運機構財務報表換算之兌換差額,-201929.0,-2.74,-32770.0,-0.44,,
50,其他權益合計,-201929.0,-2.74,-32770.0,-0.44,,
51,歸屬於母公司業主之權益合計,3526488.0,47.77,3685582.0,49.0,,
52,非控制權益,225399.0,3.05,159605.0,2.12,,
53,權益總計,3751887.0,50.82,3845187.0,51.12,,
54,負債及權益總計,7382316.0,100.0,7521712.0,100.0,,
55,待註銷股本股數（單位：股）,0.0,,0.0,,,
56,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,,
57,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,,
